English,Spanish,which bus goes to the beach,qué autobús va a la playa
Spanish,English,es tan duro se dice,It is so hard to say
Spanish,English,despues,after
English,Spanish,can i ask you a question,puedo hacerte una pregunta
Spanish,English,aún queda camino por recorrer,still some way to go
Spanish,German,cachonda,geil
Spanish,English,":
Yo no temo a la parca; le temo al aburrimiento",":
I do not fear the reaper; I fear boredom"
Spanish,English,La niña le susurró algo al oído de su amiga y ambas empezaron a reír.,The girl whispered in the ear of her friend and both started laughing.
Spanish,English,"Porque te acuerdas siempre de olvidarme 
que no recuerdas mi cara 
que nunca has servido ningún plato 
que nunca sirves para nada","Because you always remember to forget
you do not remember my face
you've never served any dish
never good for nothing"
Spanish,English,se fue a la cama,Went to bed
Spanish,English,dice que no,he says no
Spanish,English,aún,yet
Spanish,English,abra,open
Spanish,English,dice que si,It says yes
Spanish,English,aún queda,remains
Spanish,German,se vuelo,fliegt
Spanish,German,se vuelvo a enamorar,werde ich immer lieben
Spanish,English,después,after
English,German,cessation,Einstellung
Spanish,English,"no significa nada para mi, pero no puedo olvidarla",Does not mean anything to me but I can not forget it
Spanish,English,lo compré en la tienda,I bought it at the store
Spanish,English,lo compré,I bought it
Spanish,English,lo mejor es estudiar mucho,It is best to study hard
Spanish,English,era un hombre simpático,He was a nice man
Spanish,English,Nunca le dije la verdad,I never told him the truth
Spanish,English,Nunca le dijo la verdad,He never told her the truth
Spanish,English,que no recuerdas mi cara,You do not remember my face
Spanish,English,"Porque te acuerdas siempre de olvidarme 
que no recuerdas mi cara","Because you always remember to forget me
You do not remember my face"
Spanish,English,se hace lo que se puede,you do what you can
Spanish,English,he podido hacer lo que me gusta,I could do what I like
Spanish,English,sí esperaba,Yes i was waiting
Spanish,English,sí esperaba por ti,Yes i was waiting for you
Spanish,German,cuesta abajo,bergab
German,Spanish,gib mir deine Telefonnummer damit ich dich morgen anrufen kann,déme su número de teléfono para que yo pueda llamar mañana
German,Spanish,wie komme ich zum Strand,Como llegar a la playa?
Spanish,English,Coged el paraguas para que no mojéis,Gather umbrella that you may not mojéis
Spanish,English,"Está lloviendo? -No,  sólo están cayendo cuatro gotas.","It's raining? No, they are only four drops falling."
Spanish,English,empleamos,we employ
Spanish,English,Está lloviendo a mares.  la lluvia,It's raining buckets. The rain
Spanish,English,lloviendo,raining
English,Spanish,can i ask a question,Puedo hacer una pregunta
Spanish,English,me cuesta entender,its hard for me to understand
English,Spanish,its hard for me to understand,Es difícil para mí entender
English,Spanish,Where can I charge my phone,¿Dónde puedo cargar mi teléfono?
English,Spanish,ha sido un placer trabajar contigo,Ha sido un placer
English,Spanish,I have back pain,tengo dolor de espalda
English,Spanish,i can tell you something,puedo decirte algo
Spanish,English,girar derecho,Turn right
Spanish,English,fui,I was
Spanish,English,fuiste,you were
Spanish,English,fuiste a la playa,you went to the beach
English,Spanish,fuiste a la playa,Fuiste a la playa
Spanish,English,fuisteis,You were
English,Spanish,fuisteis,Fuisteis
Spanish,English,me lavo los dientes,I brush my teeth
English,Spanish,me lavo los dientes,Me lavo los dientes
Spanish,English,próximo,next
Spanish,English,y sea usted puntual,And be punctual
Spanish,English,me lavo,I wash myself
Spanish,English,tome asiento por favor,Please take a seat
Spanish,English,vengo para informarme sobre el anuncio que ustedes publicaron ayer en el periodico,I come to inform me about the announcement that you published yesterday in the newspaper
Spanish,English,cual es son tus objetivos,What are your goals
English,Spanish,por su cuenta,Por su cuenta
English,Spanish,por mi cuenta,Por mi cuenta
Spanish,English,se acaba,it's over
English,Spanish,se acaba,Se acaba
English,Spanish,salario que recibiste,Salario que recibiste
English,Spanish,él me dice que no compre el coche,Él me dice que no compre el coche
Spanish,English,haga lo que haga,whatever you do
Spanish,English,aunque sea un poco,Even a little
Spanish,English,me pregunto que habrá pasado con ello,I wonder what happened to it?
English,Spanish,me pregunto que habrá pasado con ello,Me pregunto que habrá pasado con ello
Spanish,English,orgullo,pride
English,Spanish,tampoco,Tampoco
Spanish,English,la llame te,I called you
English,Spanish,por encima,Por encima
English,Spanish,si sacar,Sí sacar
Spanish,English,sacar,take
Spanish,English,por tanto,so
English,Spanish,therefore,por lo tanto
Spanish,English,con truco,With trick
Spanish,English,disponibilidad para viaja,Travel availability
Spanish,English,detrás,behind
Spanish,English,se encuentra,it's found
Spanish,English,tanto asi que,so much so that
Spanish,English,quieres que te cuente un cuetno. tiro de free me y lo invento,You want to tell you a story. free throw me and invention
Spanish,English,"Qué dulzura de libritos he encontrado perfectos para los bebés. Se trata de una colección de libros de cartoné con títere de dedo incluido llamados ""Mi nido"", ""Mi prado"", ""Mi flor"" y ""Mi laguna"". Sus autoras son Sara Gillingham y Lorena Siminovich. Están editados por Catapulta Ediciones","What sweetness of little books have found perfect for babies. It is a collection of hardback books with finger puppet included called ""My nest"", ""My Meadow"", ""My flower"" and ""My pond"". Its authors are Sara Gillingham and Lorena Siminovich. They are published by Editions Catapult"
Spanish,English,trata,about
Spanish,English,se dice,It is said that
English,Spanish,It is so hard to say,Es tan difícil decir
Spanish,English,recorrer,travel
Spanish,English,queda,remains
Spanish,English,quedar,stay
Spanish,English,recorrer,browse
Spanish,English,me paro y,I stop and
English,Spanish,you have spoken,usted ha hablado
English,Spanish,you said,tu dijiste
Spanish,English,"yo he hablado, tu has hablado","I have spoken, you've spoken"
Spanish,English,yo he ablando,I have spoken
Spanish,English,descansa en paz,rest in peace
Spanish,English,cachorro humano,human puppy
Spanish,English,tanto,so much
English,Spanish,so,asi que
Spanish,English,como tanto,as both
Spanish,English,no os lleváis de la chica,do not you get along with the girl
Spanish,English,lleváis,you carry
Spanish,English,"En  los  remotos  e  inexplorados  confines  del  arcaico  extremo  occidental  de  la  espiral  de  la  galaxia,  brilla  un  pequeño  y  despreciable  sol  amarillento","In remote and unexplored reaches of the archaic western end of the spiral galaxy shines a small, negligible yellow sun"
English,Spanish,that is great,que es grande
English,Spanish,how do i get to the beach,¿Cómo puedo llegar a la playa
Spanish,German,destacadas,hervorragend
Spanish,English,destacadas,Highlighted
English,Spanish,decirte que yo,Decirte que yo
Spanish,English,decirte que yo,Tell you that I
English,Spanish,sugerencia,Sugerencia
Spanish,English,por encima,above
Spanish,English,tampoco,neither
Spanish,English,que habrá,What will be
Spanish,English,aunque,although
Spanish,English,seguir,follow
Spanish,English,aunque nadie,Although nobody
Spanish,English,escolar,school
Spanish,English,cubrir,cover
Spanish,English,primavera,spring
Spanish,English,cuándo es primavera las campos se cubren de flores,When is spring the fields are covered with flowers
Spanish,English,él me dice que no compre el coche,He tells me not to buy the car.
Spanish,English,salario que recibiste,Salary you received
Spanish,English,puesto,post
Spanish,English,por su cuenta,On your own
Spanish,English,sugerencia,suggestion
Spanish,English,no yo te dije. No lo hiciste.,No i told you You did not do it.
English,Spanish,no yo te dije. No lo hiciste.,No yo dije No lo hiciste.
Spanish,English,de luto,mourning
Spanish,English,mientras,While
Spanish,English,empresa te ha encontrado buscando en nuestra base de datos perfiles con tus características.2 empresas visitaron tu perfil a través de tu candidatura a una de sus ofertas. Descubre qué empresas han visitado tu perfil y las palabras que sirvieron para encontrarte.,Company has found you searching in our database profiles with your characteristics. 2 companies visited your profile through your candidacy to one of their offers. Find out which companies have visited your profile and the words that served to find you.
Spanish,English,mientras tanto,in the meantime
Spanish,English,lo vemoramos hacer,We will do it again
Spanish,English,lo vemoramos,We will do it
Spanish,English,así que,so
Spanish,English,una truco,A trick
Spanish,English,me daz,Give me
English,Spanish,does this train go to,Este tren va a
Spanish,English,amenazandome,threatening me
English,Spanish,the next day,el día siguiente
Spanish,English,a próxima,The next
Spanish,English,ha sido,has been
English,Spanish,charge,cargar
Spanish,English,cuestan,they cost
